STRUCTURE_NUMBER_008,LOCATION_009,COORDINATES,lat,lon,ADT_029,DETOUR_KILOS_019,DETOUR_MILES,HISTORY_037,S_symbolic,E_economic,D_detour,ED,CF,Risk_Level,Street_View_URL,Risk_Explanation
212140003901001.00,'2.20 MI E  OF FM 755',"(26.36125, -98.786353)",26.36125,-98.78635277777778,33240,35,21.747985,3,4,4,5,20,24,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.361250,-98.786353",
240720255201277.00,'4.7 MI E OF IH 10',"(31.895025, -106.512753)",31.895025,-106.51275277777778,31570,39,24.233469,3,4,4,5,20,24,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.895025,-106.512753",
240720255201278.00,'6.3 MI E OF IH 10',"(31.877967, -106.494339)",31.877966666666666,-106.49433888888888,31570,39,24.233469,3,4,4,5,20,24,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.877967,-106.494339",
240720255201279.00,'8.1 MI E OF IH 10',"(31.894239, -106.474067)",31.89423888888889,-106.47406666666669,31570,39,24.233469,3,4,4,5,20,24,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.894239,-106.474067",
240720255201280.00,'3.45 MI E OF IH 10',"(31.907286, -106.525025)",31.90728611111111,-106.525025,31570,39,24.233469,3,4,4,5,20,24,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.907286,-106.525025",
120850B00790001,'1.20 MI N OF BROADWAY AVE',"(29.310097, -94.823831)",29.310097222222225,-94.82383055555556,9100,159,98.797989,2,5,3,6,18,23,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.310097,-94.823831",
161780226302004.00,'0.80 MI SE OF COMMERCIAL',"(27.895314, -97.1319)",27.89531388888889,-97.1319,7398,159,98.797989,2,5,3,6,18,23,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.895314,-97.131900",
221590B00290001,'0.37 MI W  OF FM 1021',"(28.705806, -100.506775)",28.705805555555557,-100.506775,9540,93,57.787503,2,5,3,6,18,23,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.705806,-100.506775",
40590009001004.00,'1.9 Mi E of State Line',"(35.182583, -103.00965)",35.18258333333333,-103.00965,11800,119,73.943149,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.182583,-103.009650",
41800022602022.00,'1.8 Mi N of FM 1061',"(35.528025, -102.264244)",35.528025,-102.26424444444444,5415,134,83.26371400000001,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.528025,-102.264244",
41880004105007.00,'5.4 MI N OF CANADIAN RIV',"(35.537328, -101.929114)",35.537327777777776,-101.92911388888888,12487,117,72.700407,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.537328,-101.929114",
61510047902002.00,'0.80 MI NE OF REEVES C/L',"(31.678606, -103.619244)",31.67860555555556,-103.61924444444443,9332,105,65.243955,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.678606,-103.619244",
61950013902001.00,'0.3 MI SE CULBERSON C/L',"(31.984933, -104.020767)",31.98493333333333,-104.02076666666666,6562,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.984933,-104.020767",
61950013902002.00,'0.7 MI SE CULBERSON C/L',"(31.979253, -104.016828)",31.979252777777777,-104.01682777777778,6562,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.979253,-104.016828",
61950013902004.00,'3.6 MI SE CULBERSON C/L',"(31.942561, -103.991394)",31.94256111111111,-103.99139444444444,6562,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.942561,-103.991394",
61950013902005.00,'4.4 MI SE CULBERSON  C/L',"(31.933161, -103.984886)",31.93316111111111,-103.98488611111112,6562,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.933161,-103.984886",
61950013902006.00,'4.6 MI SE CULBERSON C/L',"(31.930314, -103.982908)",31.93031388888889,-103.98290833333334,6562,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.930314,-103.982908",
61950013902008.00,'10.5 MI SE CULBERSON C/L',"(31.856656, -103.931942)",31.856655555555555,-103.93194166666667,8180,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.856656,-103.931942",
61950013902009.00,'12.6 MI SE CULBERSON C/L',"(31.832672, -103.915336)",31.83267222222222,-103.91533611111112,8180,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.832672,-103.915336",
61950013902010.00,'0.20 MI NW OF FM 652',"(31.827806, -103.911161)",31.82780555555556,-103.91116111111111,8180,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.827806,-103.911161",
61950013902034.00,'3.0 MI SE CULBERSON C/L',"(31.950725, -103.997056)",31.950725,-103.99705555555556,6562,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.950725,-103.997056",
61950013902035.00,'1.45 MI SE CULBERSON C/L',"(31.970597, -104.010828)",31.97059722222222,-104.01082777777778,6562,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.970597,-104.010828",
61950013903011.00,'2.6 MI SE OF FM 652',"(31.794858, -103.8827)",31.79485833333333,-103.8827,9280,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.794858,-103.882700",
61950013903015.00,'11.20 MI SE OF FM 652',"(31.694058, -103.795728)",31.69405833333333,-103.79572777777776,6036,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.694058,-103.795728",
61950013903016.00,'11.60 MI SE of FM 652',"(31.691414, -103.793447)",31.69141388888889,-103.79344722222224,7537,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.691414,-103.793447",
61950013903017.00,'6.25 MI NW OF SH 302',"(31.668703, -103.743119)",31.668702777777774,-103.74311944444445,6036,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.668703,-103.743119",
61950013903018.00,'5.85 MI NW OF SH 302',"(31.666875, -103.736922)",31.666875,-103.73692222222222,6036,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.666875,-103.736922",
61950013903020.00,'3.50 MI NW OF SH 302',"(31.655644, -103.698914)",31.655644444444444,-103.6989138888889,6036,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.655644,-103.698914",
61950013903021.00,'2.30 MI NW OF SH 302',"(31.6501, -103.680144)",31.6501,-103.68014444444444,6036,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.650100,-103.680144",
61950013903022.00,'1.00 MI NW OF SH 302',"(31.644039, -103.659614)",31.64403888888889,-103.6596138888889,6036,101,62.758471,3,4,3,6,18,22,Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.644039,-103.659614",
61950013903057.00,'7.95 MI SE of FM 652',"(31.732294, -103.828689)",31.73229444444444,-103.82868888888888,7900,101,62.758471,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.732294,-103.828689",
61950013903060.00,'7.70 MI SE of RM 652',"(31.735433, -103.831408)",31.735433333333333,-103.83140833333331,7900,101,62.758471,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.735433,-103.831408",
61950013904023.00,'1.10 MI SE of SH 302',"(31.624872, -103.632956)",31.624872222222223,-103.63295555555555,5252,97,60.272987,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.624872,-103.632956",
61950013904024.00,'6.80 MI SE OF SH 302',"(31.555942, -103.582572)",31.555941666666666,-103.58257222222224,11020,101,62.758471,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.555942,-103.582572",
61950013904025.00,'7.80 MI SE OF SH 302',"(31.543522, -103.573511)",31.543522222222222,-103.5735111111111,11020,101,62.758471,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.543522,-103.573511",
61950013904026.00,'1.40 MI NW OF IH 20 BUS',"(31.445039, -103.503347)",31.445038888888888,-103.50334722222222,7420,101,62.758471,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.445039,-103.503347",
61950013905047.00,'3.95 MI SE OF IH 20',"(31.356036, -103.441722)",31.356036111111116,-103.44172222222224,6040,101,62.758471,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.356036,-103.441722",
61950044109056.00,'0.45 Mi E Jeff Davis C/L',"(31.084772, -104.061233)",31.08477222222222,-104.06123333333332,14949,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.084772,-104.061233",
71340014201054.00,'7.8 MI SE OF US 83',"(30.377669, -99.608033)",30.377669444444447,-99.60803333333332,15714,84,52.195164,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.377669,-99.608033",
90180025806053.00,'1.6 MI S OF FM 2136',"(31.804608, -97.604803)",31.80460833333333,-97.60480277777778,6290,158,98.176618,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.804608,-97.604803",
90180025807038.00,'2.8 MI W OF FM 56',"(31.675106, -97.513631)",31.67510555555556,-97.51363055555557,7980,121,75.185891,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.675106,-97.513631",
111870021303096.00,'0.40 MI W OF FM 3152',"(30.814089, -95.082569)",30.81408888888889,-95.08256944444445,12456,129,80.156859,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.814089,-95.082569",
111870047511094.00,'2.90 MI NW OF US 190',"(30.833278, -95.146936)",30.833277777777777,-95.14693611111112,6419,109,67.729439,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.833278,-95.146936",
120800281701001.00,'1.9 MI SE OF IH 69',"(29.537428, -95.701392)",29.53742777777778,-95.70139166666668,9266,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.537428,-95.701392",
121020AA6020001,'1.3 MI W OF FM 2100',"(29.910994, -95.09045)",29.910994444444444,-95.09045,6584,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.910994,-95.090450",
121700106201011.00,'5.4 MI  E OF LP 494',"(30.145267, -95.124661)",30.145266666666664,-95.12466111111112,11160,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.145267,-95.124661",
121700289701001.00,'0.35 MI W  OF IH 45',"(30.391111, -95.492386)",30.391111111111112,-95.49238611111112,16370,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.391111,-95.492386",
121700289701003.00,'3.70 MI W  OF IH 45',"(30.406967, -95.544383)",30.406966666666666,-95.54438333333331,5810,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.406967,-95.544383",
121700289701004.00,'3.55 MI W  OF IH 45',"(30.406494, -95.542381)",30.406494444444444,-95.54238055555555,5810,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.406494,-95.542381",
140160011304013.00,'0.6 MI W OF US 281',"(30.276692, -98.413092)",30.276691666666665,-98.41309166666667,9665,82,50.952422,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.276692,-98.413092",
142270153501002.00,'0.20 MI SW OF US 183',"(30.147375, -97.698669)",30.147375,-97.69866944444443,5403,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.147375,-97.698669",
150150001710300.00,'IH 35 & IH 37 INTERCHANGE',"(29.439581, -98.480294)",29.439580555555555,-98.48029444444444,20861,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.439581,-98.480294",
151310021506026.00,'0.4 MI E OF BUS 87',"(29.789706, -98.722533)",29.78970555555556,-98.72253333333332,10009,95,59.030245,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.789706,-98.722533",
151620051702022.00,'0.25 MI S OF SH 72 WEST',"(28.466814, -98.547497)",28.46681388888889,-98.54749722222222,5109,89,55.302019,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.466814,-98.547497",
161780061702027.00,'1.75 MI E OF SH 358',"(27.657831, -97.260819)",27.657830555555552,-97.26081944444444,8166,113,70.214923,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.657831,-97.260819",
161780061702028.00,'4.35 MI E OF SH 358',"(27.631633, -97.232536)",27.631633333333333,-97.23253611111112,16333,113,70.214923,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.631633,-97.232536",
161780226303010.00,'3.00 MI NE OF PR 22',"(27.649519, -97.192236)",27.649519444444444,-97.19223611111111,10439,113,70.214923,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.649519,-97.192236",
161780226303011.00,'1.65 MI NE OF PR 22',"(27.633092, -97.203292)",27.63309166666667,-97.20329166666669,10439,113,70.214923,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.633092,-97.203292",
161780226303012.00,'1.05 MI NE OF PR 22',"(27.625139, -97.208628)",27.62513888888889,-97.20862777777778,10439,113,70.214923,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.625139,-97.208628",
161780226303013.00,'5.40 MI NE OF PR 22',"(27.680061, -97.171756)",27.68006111111111,-97.17175555555556,10439,113,70.214923,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.680061,-97.171756",
161780226303014.00,'0.45 MI E OF PR 22',"(27.618981, -97.214383)",27.61898055555556,-97.21438333333332,10804,113,70.214923,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.618981,-97.214383",
161960037103025.00,'0.55 MI NE OF US 183',"(28.321075, -97.267444)",28.321075,-97.26744444444444,16407,89,55.302019,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.321075,-97.267444",
161960037103033.00,'9.2 MI SW OF FM 136',"(28.131267, -97.420206)",28.13126666666667,-97.42020555555555,12572,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.131267,-97.420206",
192250001007135.00,'INT US 67 & FM 1402',"(33.172208, -94.962467)",33.17220833333333,-94.96246666666669,7975,85,52.816535,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.172208,-94.962467",
201240030701008.00,'6.85 MI S OF SH 82',"(29.775344, -93.942003)",29.775344444444443,-93.9420027777778,8761,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.775344,-93.942003",
201240030701009.00,'0.4 MI SW OF SH 82',"(29.861669, -93.967242)",29.861669444444445,-93.96724166666668,14496,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.861669,-93.967242",
201240030701010.00,'0.5 MI SW OF SH 82',"(29.861272, -93.967564)",29.861272222222222,-93.96756388888888,14496,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.861272,-93.967564",
201240030701011.00,'1.0 MI SW OF SH 82',"(29.854644, -93.972797)",29.85464444444445,-93.97279722222224,14496,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.854644,-93.972797",
201240030701012.00,'1.2 MI S OF SH 82',"(29.851594, -93.973161)",29.851594444444444,-93.97316111111112,8761,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.851594,-93.973161",
201240030701013.00,'0.8 MI SW OF SH 82',"(29.857, -93.971014)",29.857000000000003,-93.97101388888888,14496,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.857000,-93.971014",
201240030701014.00,'2.9 MI S OF SH 82',"(29.823583, -93.964344)",29.82358333333333,-93.96434444444444,8761,159,98.797989,3,4,3,6,18,22,Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.823583,-93.964344",
