STRUCTURE_NUMBER_008,LOCATION_009,_lat,_lon,YEAR_BUILT_027,N_i,p_tornado,V_age,V_des,Risk_tornado,Risk_Rank,"coordinates (lat, lon)",Risk_Level,Street_View_URL,Risk_Explanation
121020002713081.00,'0.10 MI W  OF SH 288',29.73283889,-95.37532778,1961,15,0.218000861,1.828571429,0.666666667,0.26575343,15,"29.7328388888888, -95.3753277777777",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.732839,-95.375328","This bridge is at high tornado risk because 15 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 21.8% annual chance of a direct tornado strike. Built in 1961, it has no modern wind resistance design and shows nearly 2 times the tornado vulnerability of a newly built bridge (V_age = 1.83)."
160130B00025001,'0.30 MI SE OF US 59',28.39921389,-97.740075,1950,8,0.122911642,2.142857143,1.0,0.263382089,16,"28.3992138888888, -97.740075",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.399214,-97.740075","This bridge is at high tornado risk because 8 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 12.3% annual chance of a direct tornado strike. Built in 1950, it has no modern wind resistance design and reflects nearly 2 times the tornado vulnerability of a modern structure (V_age = 2.14)."
121700C00200114,'0.05 MI E OF ROBERSON ST',30.32226389,-95.45941944,1965,10,0.151202321,1.714285714,1.0,0.259203979,17,"30.3222638888888, -95.4594194444444",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.322264,-95.459419","This bridge is at high tornado risk because 10 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 15.1% annual chance of a direct tornado strike. Built in 1965, it has no modern wind resistance design and holds nearly 2 times more structural exposure to tornado damage than a modern bridge (V_age = 1.71)."
050960B00050001,'0.40 MI S OF US 70',34.17893333,-101.7029194,1926,9,0.137172924,2.828571429,0.666666667,0.258668943,18,"34.1789333333333, -101.702919444444",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=34.178933,-101.702919","This bridge is at high tornado risk because 9 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 13.7% annual chance of a direct tornado strike. Built in 1926, it has no modern wind resistance design and marks nearly 3 times the tornado vulnerability of a bridge built today (V_age = 2.83)."
160890008802011.00,'1.8 MI W OF US 183',28.66402222,-97.41837222,1929,6,0.093678025,2.742857143,1.0,0.256945441,19,"28.6640222222222, -97.4183722222222",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.664022,-97.418372","This bridge is at high tornado risk because 6 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 9.4% annual chance of a direct tornado strike. Built in 1929, it has no modern wind resistance design and records nearly 3 times the tornado vulnerability of a modern structure (V_age = 2.74)."
160890008802010.00,'2.2 MI W OF US 183',28.65909167,-97.42390278,1929,6,0.093678025,2.742857143,1.0,0.256945441,19,"28.6590916666666, -97.4239027777777",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.659092,-97.423903","This bridge is at high tornado risk because 6 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 9.4% annual chance of a direct tornado strike. Built in 1929, it has no modern wind resistance design and puts it at nearly 3 times the tornado vulnerability of a bridge built today (V_age = 2.74)."
120850C00208052,'0.3 MI E OF BAY ST',29.39216389,-94.88939722,1960,9,0.137172924,1.857142857,1.0,0.254749716,21,"29.3921638888888, -94.8893972222222",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.392164,-94.889397",
222330B01350008,'0.6 MI NE OF PECAN ST',29.36540556,-100.88965,1930,6,0.093678025,2.714285714,1.0,0.254268926,22,"29.3654055555555, -100.88965",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.365406,-100.889650",
201240002807164.00,'0.5 MI S OF IH 10',30.09138056,-94.1013,1967,10,0.151202321,1.657142857,1.0,0.250563846,23,"30.0913805555555, -94.1013",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.091381,-94.101300",
201240002807165.00,'0.5 MI S OF IH 10',30.091025,-94.10170833,1967,10,0.151202321,1.657142857,1.0,0.250563846,23,"30.091025, -94.1017083333333",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.091025,-94.101708",
10750004505031.00,'AT JCT OF SH 56 & SH 121',33.57674167,-96.19514444,1933,6,0.093678025,2.628571429,1.0,0.246239381,25,"33.5767416666666, -96.1951444444444",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.576742,-96.195144",
10750004505032.00,'500 FT E JCT SH 121',33.57728056,-96.19015556,1933,6,0.093678025,2.628571429,1.0,0.246239381,25,"33.5772805555555, -96.1901555555555",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.577281,-96.190156",
160130B00025002,'0.6 MI SE OF US 59',28.39577778,-97.73663611,1955,8,0.122911642,2.0,1.0,0.245823283,27,"28.3957777777777, -97.7366361111111",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.395778,-97.736636",
160130010107042.00,'0.4 MI SE OF US 59',28.39427222,-97.74492778,1956,8,0.122911642,1.971428571,1.0,0.242311522,28,"28.3942722222222, -97.7449277777777",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.394272,-97.744928",
22200106801513.00,'500 E. of Forest Park',32.73718333,-97.352225,1949,7,0.108414641,2.171428571,1.0,0.235414648,29,"32.7371833333333, -97.3522249999999",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.737183,-97.352225",
230420AA0498001,'0.05 MI E OF SH 206',31.99636389,-99.22990556,1922,3,0.04799056,2.942857143,1.666666667,0.235382269,30,"31.9963638888888, -99.2299055555555",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.996364,-99.229906",
180570M00615001,'0.1 MI W OF SH 342',32.59222778,-96.75850833,1938,6,0.093678025,2.485714286,1.0,0.232856806,31,"32.5922277777777, -96.7585083333333",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.592228,-96.758508",
10750027903017.00,'0.8 MI S OF SH 56',33.56584167,-96.17772778,1938,6,0.093678025,2.485714286,1.0,0.232856806,31,"33.5658416666666, -96.1777277777777",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.565842,-96.177728",
121020002715330.00,'0.25 MI NE OF US 59',29.734575,-95.38531944,2005,16,0.230716012,1.0,1.0,0.230716012,33,"29.734575, -95.3853194444444",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.734575,-95.385319",
90140023110017.00,'2.10 MI E OF SPUR 172',31.11918611,-97.73679167,1939,6,0.093678025,2.457142857,1.0,0.230180291,34,"31.1191861111111, -97.7367916666666",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.119186,-97.736792",
90140023110018.00,'2.30 MI E OF SPUR 172',31.11762778,-97.73033889,1939,6,0.093678025,2.457142857,1.0,0.230180291,34,"31.1176277777777, -97.7303388888889",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.117628,-97.730339",
50960104101005.00,'0.4 MI S OF US 70',34.17901944,-101.6978472,1960,8,0.122911642,1.857142857,1.0,0.228264477,36,"34.1790194444444, -101.697847222222",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=34.179019,-101.697847",
201810B00011001,'0.10 MI N  OF LINK AVE',30.10830833,-93.74176667,1941,6,0.093678025,2.4,1.0,0.224827261,37,"30.1083083333333, -93.7417666666666",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.108308,-93.741767",
022200ZV4040006,'1.0 MI E OF FOREST PARK',32.74335,-97.337375,1930,8,0.122911642,2.714285714,0.666666667,0.222411542,38,"32.74335, -97.337375",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.743350,-97.337375",
22200017105018.00,'0.1 MI S OF WHT. SET. RD.',32.75803056,-97.34225,1930,8,0.122911642,2.714285714,0.666666667,0.222411542,38,"32.7580305555555, -97.3422499999999",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.758031,-97.342250",
120850C00017051,'0.4 MI N OF 9TH AVE N',29.39903611,-94.89349722,1970,9,0.137172924,1.571428571,1.0,0.215557452,40,"29.3990361111111, -94.8934972222222",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.399036,-94.893497",
161780C00445001,'1.00 MI W OF BUS 77',27.78341111,-97.68479722,1930,5,0.078697835,2.714285714,1.0,0.21360841,41,"27.7834111111111, -97.6847972222222",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.783411,-97.684797",
120850C00219002,'19TH AVE AT 14TH ST.',29.40368056,-94.91413611,1980,11,0.165003603,1.285714286,1.0,0.212147489,42,"29.4036805555555, -94.9141361111111",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.403681,-94.914136",
160890051602012.00,'0.2 MI NW OF US 59',28.66488611,-97.42083889,1947,6,0.093678025,2.228571429,1.0,0.208768171,43,"28.6648861111111, -97.4208388888889",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.664886,-97.420839",
121700033804054.00,'2.00 MI E  OF IH 45',30.31614722,-95.44031389,1936,8,0.122911642,2.542857143,0.666666667,0.208364497,44,"30.3161472222222, -95.4403138888889",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.316147,-95.440314",
121020002713180.00,'0.60 MI W  OF SH 288',29.73233056,-95.38108333,1975,15,0.218000861,1.428571429,0.666666667,0.207619868,45,"29.7323305555555, -95.3810833333333",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.732331,-95.381083",
121020002713161.00,'US 59 & SH 288 I/C',29.73335833,-95.37246389,1975,15,0.218000861,1.428571429,0.666666667,0.207619868,45,"29.7333583333333, -95.3724638888888",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.733358,-95.372464",
121020002713172.00,'0.10 MI W OF SH 288',29.73265278,-95.37985833,1975,15,0.218000861,1.428571429,0.666666667,0.207619868,45,"29.7326527777777, -95.3798583333333",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.732653,-95.379858",
121020002713113.00,'0.20 MI SW OF IH 45',29.741475,-95.364375,1975,15,0.218000861,1.428571429,0.666666667,0.207619868,45,"29.741475, -95.364375",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.741475,-95.364375",
121020002713114.00,'0.15 MI SW OF IH 45',29.74282222,-95.36454722,1975,15,0.218000861,1.428571429,0.666666667,0.207619868,45,"29.7428222222222, -95.3645472222222",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.742822,-95.364547",
121020002713110.00,'0.65 MI SW OF IH 45',29.73661389,-95.368725,1975,15,0.218000861,1.428571429,0.666666667,0.207619868,45,"29.7366138888888, -95.368725",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.736614,-95.368725",
121020002713112.00,'0.35 MI SW OF IH 45',29.74038889,-95.36583333,1975,15,0.218000861,1.428571429,0.666666667,0.207619868,45,"29.7403888888888, -95.3658333333333",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.740389,-95.365833",
121020002713111.00,'0.50 MI SW OF IH 45',29.73850556,-95.36728889,1975,15,0.218000861,1.428571429,0.666666667,0.207619868,45,"29.7385055555555, -95.3672888888888",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.738506,-95.367289",
121020002713276.00,'US 59 @ SH 288',29.73337222,-95.37237778,1975,15,0.218000861,1.428571429,0.666666667,0.207619868,45,"29.7333722222222, -95.3723777777777",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.733372,-95.372378",
121020002713181.00,'0.60 MI W  OF SH 288',29.73270278,-95.3814,1975,15,0.218000861,1.428571429,0.666666667,0.207619868,45,"29.7327027777777, -95.3814",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.732703,-95.381400",
10750027903016.00,'0.3 MI S OF SH 56',33.57230556,-96.17816111,1938,8,0.122911642,2.485714286,0.666666667,0.203682149,55,"33.5723055555555, -96.1781611111111",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.572306,-96.178161",
250970038102002.00,'0.60 MI E OF US 287',34.72449444,-100.5237556,1939,8,0.122911642,2.457142857,0.666666667,0.201340975,56,"34.7244944444444, -100.523755555555",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=34.724494,-100.523756",
160130B00510001,'0.05 MI S OF US 59',28.39943333,-97.75173333,1950,6,0.093678025,2.142857143,1.0,0.200738626,57,"28.3994333333333, -97.7517333333333",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.399433,-97.751733",
180570M00850011,'0.02 MI W OF JEFFERSON',32.60398333,-96.75359167,1950,6,0.093678025,2.142857143,1.0,0.200738626,57,"32.6039833333333, -96.7535916666666",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.603983,-96.753592",
250790009803026.00,'0.21 MI S OF US 70',33.98093611,-99.72508056,1937,5,0.078697835,2.514285714,1.0,0.197868843,59,"33.9809361111111, -99.7250805555555",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.980936,-99.725081",
161260025403032.00,'BUS 281 @ SH 44',27.74742222,-98.08383333,1937,5,0.078697835,2.514285714,1.0,0.197868843,59,"27.7474222222222, -98.0838333333333",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.747422,-98.083833",
161260008611028.00,'0.2 MI S OF SH 44',27.74396667,-98.08538611,1937,5,0.078697835,2.514285714,1.0,0.197868843,59,"27.7439666666666, -98.0853861111111",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.743967,-98.085386",
161260025403033.00,'0.2 MI S OF SH 44',27.74465556,-98.084775,1937,5,0.078697835,2.514285714,1.0,0.197868843,59,"27.7446555555555, -98.084775",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.744656,-98.084775",
40910049001005.00,'0.7 Mi N of SH 152',35.54289167,-100.9719472,1952,6,0.093678025,2.085714286,1.0,0.195385596,63,"35.5428916666666, -100.971947222222",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.542892,-100.971947",
21270042205017.00,'1.2 MI W OF SH-174',32.34116389,-97.40654722,1940,5,0.078697835,2.428571429,1.0,0.191123314,64,"32.3411638888888, -97.4065472222222",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.341164,-97.406547",
121020002713178.00,'SH 288 AT US 59',29.73074722,-95.3716,1979,15,0.218000861,1.314285714,0.666666667,0.191010278,65,"29.7307472222222, -95.3715999999999",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.730747,-95.371600",
121020002713196.00,'SH 288 at US 59',29.73436111,-95.37035,1979,15,0.218000861,1.314285714,0.666666667,0.191010278,65,"29.7343611111111, -95.3703499999999",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.734361,-95.370350",
121020059801066.00,'3.5 MI N OF IH 610',29.72850556,-95.37345833,1979,15,0.218000861,1.314285714,0.666666667,0.191010278,65,"29.7285055555555, -95.3734583333333",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.728506,-95.373458",
121020059801064.00,'US 59 & SH 288 I/C',29.73285556,-95.371275,1979,15,0.218000861,1.314285714,0.666666667,0.191010278,65,"29.7328555555555, -95.371275",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.732856,-95.371275",
121020002713175.00,'US 59 @ SH 288',29.73421111,-95.37146389,1979,15,0.218000861,1.314285714,0.666666667,0.191010278,65,"29.7342111111111, -95.3714638888888",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.734211,-95.371464",
121020059801088.00,'0.20 MI S  OF US 59',29.73037778,-95.37199722,1979,15,0.218000861,1.314285714,0.666666667,0.191010278,65,"29.7303777777777, -95.3719972222222",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.730378,-95.371997",
121020059801091.00,'3.5 MI N OF IH 610',29.72818333,-95.37298056,1979,15,0.218000861,1.314285714,0.666666667,0.191010278,65,"29.7281833333333, -95.3729805555555",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.728183,-95.372981",
121020059801094.00,'3.3 MI N OF IH 610',29.7263,-95.37446389,1979,15,0.218000861,1.314285714,0.666666667,0.191010278,65,"29.7263, -95.3744638888888",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.726300,-95.374464",
121020059801067.00,'3.3 MI N OF IH 610',29.72660833,-95.37497778,1979,15,0.218000861,1.314285714,0.666666667,0.191010278,65,"29.7266083333333, -95.3749777777777",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.726608,-95.374978",
121020059801065.00,'0.20 MI S OF US 59',29.73056944,-95.37241944,1979,15,0.218000861,1.314285714,0.666666667,0.191010278,65,"29.7305694444444, -95.3724194444444",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.730569,-95.372419",
121020002713177.00,'US 59 at SH 288',29.73350278,-95.37070278,1979,15,0.218000861,1.314285714,0.666666667,0.191010278,65,"29.7335027777777, -95.3707027777777",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.733503,-95.370703",
121020002713174.00,'SH 288 @ US 59',29.73550833,-95.37116111,1979,15,0.218000861,1.314285714,0.666666667,0.191010278,65,"29.7355083333333, -95.3711611111111",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.735508,-95.371161",
160130B00460001,'0.30 MI SW OF BUS 181',28.40126111,-97.75445833,1955,6,0.093678025,2.0,1.0,0.187356051,77,"28.4012611111111, -97.7544583333333",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.401261,-97.754458",
222330029901049.00,'0.05 MI S OF US 90',29.36431944,-100.8974444,1955,6,0.093678025,2.0,1.0,0.187356051,77,"29.3643194444444, -100.897444444444",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.364319,-100.897444",
222330029901042.00,'0.3 MI W OF US 277',29.36641111,-100.8905806,1955,6,0.093678025,2.0,1.0,0.187356051,77,"29.3664111111111, -100.890580555555",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.366411,-100.890581",
222330029901039.00,'0.05 MI S OF US 90',29.36436667,-100.8975667,1955,6,0.093678025,2.0,1.0,0.187356051,77,"29.3643666666666, -100.897566666666",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.364367,-100.897567",
222330B00365006,'0.1 MI SE OF MILL ST',29.35634722,-100.8946667,1935,7,0.108414641,2.571428571,0.666666667,0.18585367,81,"29.3563472222222, -100.894666666666",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.356347,-100.894667",
222330002301002.00,'0.25 MI E OF US 277',29.36984444,-100.8836972,1935,7,0.108414641,2.571428571,0.666666667,0.18585367,81,"29.3698444444444, -100.883697222222",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.369844,-100.883697",
120200017808008.00,'0.15 MI S  OF SH 6',29.42650833,-95.24419167,1935,7,0.108414641,2.571428571,0.666666667,0.18585367,81,"29.4265083333333, -95.2441916666666",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.426508,-95.244192",
011170AA0166001,'.8 Mi NW of Wolfe City',33.37313889,-96.08246944,1935,7,0.108414641,2.571428571,0.666666667,0.18585367,81,"33.3731388888888, -96.0824694444444",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.373139,-96.082469",
222330002301001.00,'0.15 MI E OF US 277',29.36958611,-100.8848444,1935,7,0.108414641,2.571428571,0.666666667,0.18585367,81,"29.3695861111111, -100.884844444444",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.369586,-100.884844",
161780032603027.00,'1.9 MI S OF IH 37',27.77129444,-97.41540556,1966,11,0.165003603,1.685714286,0.666666667,0.18543262,86,"27.7712944444444, -97.4154055555555",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.771294,-97.415406",
