STRUCTURE_NUMBER_008,COUNTY_CODE_003,LOCATION_009,"coordinates (lat, lon)",N_wildfires_within_1mi,T_years_wildfire_obs,lambda_wildfire,p_wildfire,V_elem_wildfire,V_age_wildfire,V_des_wildfire,wildfire_design_row_43B,wildfire_material_class,sdes_wildfire_raw_0to5,Risk_wildfire,Risk_Level,Risk_Explanation,Street_View_URL
2.1214E+14,427,'1.50 MI SE OF FM 649',"26.393803, -98.920281",95,29,3.27586206896552,0.962215717472,1.0,2.91428571428571,1.33333333333333,Culvert,Concrete,3.0,3.73889535931977,Top 20,"This bridge has 95 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 96.2%. Its concrete superstructure has a design vulnerability (V_des) of 1.33, and its age vulnerability (V_age) of 2.91 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.739.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.393803,-98.920281"
2.1214E+14,427,'0.95 MI W  OF FM 649',"26.409353, -98.954811",324,29,11.1724137931034,0.999985943333533,1.0,2.8,1.33333333333333,Culvert,Concrete,3.0,3.73328085511186,Top 20,"This bridge has 324 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 100.0%. Its concrete superstructure has a design vulnerability (V_des) of 1.33, and its age vulnerability (V_age) of 2.8 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.733.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.409353,-98.954811"
1.5083E+14,163,'2.20 Mi SW of FM 1583',"28.738911, -99.144022",61,29,2.10344827586207,0.877965108088229,1.0,2.54285714285714,1.66666666666667,Stringer/MultiBeam/Girder,Steel Continuous,4.0,3.7208997438025,Top 20,"This bridge has 61 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 87.8%. Its steel continuous superstructure has a design vulnerability (V_des) of 1.67, and its age vulnerability (V_age) of 2.54 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.721.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.738911,-99.144022"
1.6126E+14,249,'BUS 281 @ SH 44',"27.747422, -98.083833",37,29,1.27586206896552,0.720809816742767,1.0,2.57142857142857,2.0,Stringer/MultiBeam/Girder,Wood or Timber,5.0,3.70702191467709,Top 20,"This bridge has 37 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 72.1%. Its wood or timber superstructure has a design vulnerability (V_des) of 2.0, and its age vulnerability (V_age) of 2.57 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.707.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.747422,-98.083833"
212140AA0190001,427,'0.13 MI E OF JCT US 83',"26.406772, -98.945064",326,29,11.2413793103448,0.999986880085751,1.0,2.77142857142857,1.33333333333333,Tee Beam,Concrete,3.0,3.6951896140311504,Top 20,"This bridge has 326 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 100.0%. Its concrete superstructure has a design vulnerability (V_des) of 1.33, and its age vulnerability (V_age) of 2.77 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.695.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.406772,-98.945064"
2.1214E+14,427,'2.2 MI SE OF FM 649',"26.386039, -98.905217",87,29,3.0,0.950212931632136,1.0,2.91428571428571,1.33333333333333,Culvert,Concrete,3.0,3.69225596291344,Top 20,"This bridge has 87 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 95.0%. Its concrete superstructure has a design vulnerability (V_des) of 1.33, and its age vulnerability (V_age) of 2.91 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.692.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.386039,-98.905217"
2.1214E+14,427,'2.00 MI E  OF FM 649',"26.389869, -98.913172",84,29,2.89655172413793,0.944786717195956,1.0,2.91428571428571,1.33333333333333,Culvert,Concrete,3.0,3.67117124396143,Top 20,"This bridge has 84 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 94.5%. Its concrete superstructure has a design vulnerability (V_des) of 1.33, and its age vulnerability (V_age) of 2.91 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.671.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.389869,-98.913172"
2.1214E+14,427,'3.50 MI SE OF FM 649',"26.379831, -98.891033",80,29,2.75862068965517,0.936620872415627,1.0,2.91428571428571,1.33333333333333,Culvert,Concrete,3.0,3.63944110424358,Top 20,"This bridge has 80 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 93.7%. Its concrete superstructure has a design vulnerability (V_des) of 1.33, and its age vulnerability (V_age) of 2.91 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.639.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.379831,-98.891033"
091610B06813001,309,'0.5 MI SE OF US 84',"31.544333, -97.139531",80,29,2.75862068965517,0.936620872415627,1.0,1.91428571428571,2.0,Stringer/MultiBeam/Girder,Wood or Timber,5.0,3.58591991153412,Top 20,"This bridge has 80 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 93.7%. Its wood or timber superstructure has a design vulnerability (V_des) of 2.0, and its age vulnerability (V_age) of 1.91 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.586.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.544333,-97.139531"
2.2142E+14,283,'0.85 MI S OF SH 97',"28.425361, -99.241564",53,29,1.82758620689655,0.839198759368427,1.0,2.54285714285714,1.66666666666667,Stringer/MultiBeam/Girder,Steel Continuous,4.0,3.55660426589476,Top 20,"This bridge has 53 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 83.9%. Its steel continuous superstructure has a design vulnerability (V_des) of 1.67, and its age vulnerability (V_age) of 2.54 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.557.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.425361,-99.241564"
232150B00425001,429,'0.10 MI N  OF US 180',"32.757361, -98.905128",71,29,2.44827586206897,0.913557503120812,1.0,2.91428571428571,1.33333333333333,Slab,Concrete Continuous,3.0,3.54982344069801,Top 50,"The bridge at 0.10 MI N OF US 180 is ranked #21 for wildfire risk. It has experienced 71 wildfire events within a 1-mile buffer area, indicating high historical exposure. The risk index is 3.55, calculated using annual wildfire probability, material vulnerability, and age adjustment factors. The primary drivers of the elevated risk are the high number of past wildfires and the bridge’s concrete superstructure, which, while less vulnerable, still faces significant risk when combined with frequent fire events.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.757361,-98.905128"
232150B00330001,429,'0.10 MI N  OF US 180',"32.757336, -98.906336",69,29,2.37931034482759,0.907385572490456,1.0,2.91428571428571,1.33333333333333,Slab,Concrete Continuous,3.0,3.5258410816772,Top 50,"This bridge is ranked #22 for wildfire risk at 0.10 MI N OF US 180. It has experienced 69 wildfire events within a 1-mile buffer area over the past 30 years, indicating very high historical exposure. The risk index is 3.5, calculated using factors including a 90.7% annual wildfire probability, a vulnerability score of 1.00 for concrete superstructure, and age and design factors. The primary drivers of the elevated risk are the high frequency of wildfires in the area and the bridge’s concrete construction, which, while more resistant to fire, still faces significant risk when combined with other factors.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.757336,-98.906336"
1.5083E+14,163,'2.30 Mi SW of FM 1583',"28.738814, -99.143878",61,29,2.10344827586207,0.877965108088229,1.0,3.0,1.33333333333333,Tee Beam,Concrete,3.0,3.51186043235292,Top 50,"The bridge at '2.30 Mi SW of FM 1583' has a high wildfire risk score of 3.51, ranking it among the top 50 in the state. This is due to a high historical exposure to wildfires, with 61 recorded events within a 1-mile buffer area over the past three decades. The bridge’s concrete superstructure has a lower vulnerability score, but the high probability of a wildfire (87.8%) and the bridge’s age and design factors contribute significantly to its elevated risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.738814,-99.143878"
091610B06361001,309,'0.2 MI SW OF 11TH ST',"31.546483, -97.135936",83,29,2.86206896551724,0.942849604336374,1.0,2.77142857142857,1.33333333333333,Arch - Deck,Concrete,3.0,3.48405377602394,Top 50,"This bridge has a high wildfire risk rating of 3.48, placing it in the top 50 tier. The bridge is located near a high-exposure area with 83 recorded wildfires in the past 30 years, which significantly increases its risk. The bridge’s superstructure is made of concrete, which has a lower vulnerability to fire damage compared to other materials. However, the high historical exposure and the calculated annual wildfire probability of 94% are the primary factors contributing to its elevated risk score.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.546483,-97.135936"
091610B01011001,309,'0.25 MI SW OF 11TH ST',"31.545731, -97.134864",78,29,2.68965517241379,0.932095649371574,1.0,2.77142857142857,1.33333333333333,Arch - Deck,Concrete,3.0,3.44431535196353,Top 50,"The bridge at '0.25 MI SW OF 11TH ST' has a high wildfire risk score of 3.44, ranking it among the top 50 in the state. This is due to a high historical exposure to wildfires, with 78 events recorded within a 1-mile buffer area over the past three decades. The bridge’s concrete superstructure has a lower vulnerability score, but the high probability of a wildfire (93%) and the bridge’s age and design factors contribute significantly to its elevated risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.545731,-97.134864"
2.3215E+14,429,'0.25 MI E OF US 183',"32.755456, -98.897550",55,29,1.89655172413793,0.849914736664198,1.0,3.02857142857143,1.33333333333333,Tee Beam,Concrete,3.0,3.43203665091067,Top 50,"The bridge at 0.25 MI E OF US 183 is ranked #26 for wildfire risk. It has experienced 55 wildfires within a 1-mile buffer area over the past 30 years, indicating high historical exposure. The risk index is 3.43, driven by a 85% annual wildfire probability, a vulnerability factor of 1.00 for concrete superstructure, and a vulnerability factor of 1.00 for age. These factors combine to indicate a significant risk from wildfires.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.755456,-98.897550"
091610B01611001,309,'0.4 MI NE OF SL 2 (17th)',"31.542961, -97.129389",73,29,2.51724137931034,0.919318129284572,1.0,2.77142857142857,1.33333333333333,Tee Beam,Concrete,3.0,3.39709937297537,Top 50,"The bridge is ranked #27 for wildfire risk, with a high probability of 91.93% of experiencing a wildfire event within a year. This is driven by 73 historical wildfire events within a 1-mile buffer, indicating very high exposure. The bridge’s superstructure is made of concrete, which has a lower vulnerability score, but the overall risk index of 3.397 is still in the top 50 tier, reflecting a significant concern due to the high probability of fire events.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.542961,-97.129389"
2.3215E+14,429,'0.70 MI W OF US 183',"32.755397, -98.915797",53,29,1.82758620689655,0.839198759368427,1.0,3.02857142857143,1.33333333333333,Culvert,Concrete,3.0,3.38876451402107,Top 50,"The bridge at 0.70 MI W OF US 183 is ranked #28 for wildfire risk. It has experienced 53 wildfires within a 1-mile buffer area over the past 30 years, indicating high historical exposure. The risk index is 3.39, calculated using factors including a 83.92% annual wildfire probability, a vulnerability factor of 1.00 for concrete superstructure, and other modifiers. The primary drivers of the elevated risk are the high frequency of wildfires in the area and the bridge’s concrete construction, which, while more resistant to fire, still faces significant risk when combined with other factors.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.755397,-98.915797"
052190AA0247001,437,'0.80 MI S  OF SH 86',"34.524192, -101.758650",43,29,1.48275862068966,0.772989412288977,1.0,2.62857142857143,1.66666666666667,Stringer/MultiBeam/Girder,Steel,4.0,3.38642980621838,Top 50,"The bridge at 0.80 MI S OF SH 86 has a high wildfire risk score of 3.39, ranking it #29 among bridges in the area. This is due to a high historical exposure to wildfires, with 43 events recorded within a 1-mile buffer zone over the past three decades. The bridge’s superstructure is made of steel, which has a moderate vulnerability score of 2–3, contributing to the elevated risk. The primary drivers of the risk are the high frequency of wildfires in the region and the material’s susceptibility to fire damage.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=34.524192,-101.758650"
2.22E+13,439,'1.2 Mi E of US 287',"32.741881, -97.285917",40,29,1.37931034482759,0.74824788464767,1.0,2.71428571428571,1.66666666666667,Stringer/MultiBeam/Girder,Steel,4.0,3.38493090673946,Top 50,"The bridge at '1.2 Mi E of US 287' has a high wildfire risk score of 3.38, ranking it #30 among bridges in the area. This is due to a 74.82% annual probability of wildfire, combined with a moderate vulnerability score of 2-3 for its steel superstructure. The bridge’s risk is also influenced by a high historical exposure to wildfires, with 40 events recorded within the 1-mile buffer zone over the past three decades.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.741881,-97.285917"
9.161E+13,309,'3.5 MI NE OF LP 396',"31.565142, -97.133772",75,29,2.58620689655172,0.924694860778502,1.0,2.17142857142857,1.66666666666667,Stringer/MultiBeam/Girder,Steel Continuous,4.0,3.34651473424601,Top 50,"The bridge at 3.5 miles northeast of LP 396 has a high wildfire risk rating of 3.35, placing it in the top 50 most at-risk bridges. This is due to a high historical exposure to wildfires, with 75 events recorded within a 1-mile buffer area over the past three decades. The bridge’s steel superstructure has a moderate vulnerability score of 2–3, and its risk index is influenced by a high annual wildfire probability of 92.5%, which significantly increases the overall risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.565142,-97.133772"
022200ZV3900003,439,'0.3 MI E OF US287',"32.735967, -97.293364",49,29,1.68965517241379,0.815416837613438,1.0,3.05714285714286,1.33333333333333,Arch - Deck,Concrete,3.0,3.32379434760525,Top 50,"The bridge at 0.3 MI E OF US287 is ranked #32 for wildfire risk, with 49 wildfire events recorded within a 1-mile buffer area between 1980 and 2010. The risk index is 3.32, calculated using factors including a high annual wildfire probability of 81.5%, a vulnerability factor of 1.00 for concrete superstructure, and a vulnerability factor of 1.00 for age. The primary drivers of the elevated risk are the high historical exposure to wildfires and the bridge’s concrete construction, which, while less vulnerable to fire, still faces significant risk in a fire-prone area.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.735967,-97.293364"
232150B00110001,429,'0.20 MI N  OF US 180',"32.758361, -98.903858",66,29,2.27586206896552,0.897291671402776,1.0,2.77142857142857,1.33333333333333,Tee Beam,Concrete,3.0,3.3157063667074,Top 50,"The bridge at 0.20 MI N OF US 180 is ranked #33 for wildfire risk, with a calculated risk index of 3.3157. This high risk is driven by a 89.73% annual probability of wildfire, a very high historical exposure of 66 events within the 1-mile buffer, and a vulnerability score of 1.00 for the concrete superstructure. These factors combine to place the bridge in the top 50 tier for wildfire risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.758361,-98.903858"
232150B00345001,429,'0.10 MI N  OF US 180',"32.757547, -98.907578",66,29,2.27586206896552,0.897291671402776,1.0,2.77142857142857,1.33333333333333,Tee Beam,Concrete,3.0,3.3157063667074,Top 50,"The bridge at 0.10 MI N OF US 180 is ranked #34 for wildfire risk, with a calculated risk index of 3.3157. This high risk is driven by a 89.73% annual probability of wildfire, a very high historical exposure to wildfires (66 events within 1 mile since 1980–2010), and a concrete superstructure, which has a lower vulnerability score of 1.00. These factors combine to place the bridge in the top 50 tier for wildfire risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.757547,-98.907578"
1.923E+14,459,'0.60 MI E OF US 271',"32.728444, -94.932044",78,29,2.68965517241379,0.932095649371574,1.0,2.65714285714286,1.33333333333333,Culvert,Concrete,3.0,3.30228172920215,Top 50,"The bridge at 0.60 MI E OF US 271 has a high wildfire risk score of 3.30, ranking it #35 among bridges in the area. This is due to a high historical exposure to wildfires, with 78 events recorded within a 1-mile buffer from 1980 to 2010. The bridge’s concrete superstructure has a lower vulnerability score, but the high annual wildfire probability (93%) and the bridge’s age and design factors contribute significantly to its elevated risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.728444,-94.932044"
1.9155E+14,315,'0.25 MI N OF SH 49',"32.765025, -94.354939",80,29,2.75862068965517,0.936620872415627,1.0,2.11428571428571,1.66666666666667,Stringer/MultiBeam/Girder,Steel Continuous,4.0,3.30047355041697,Top 50,"The bridge at 0.25 MI N OF SH 49 is ranked #36 for wildfire risk, with 80 wildfire events recorded within a 1-mile buffer area over the past decade. The high historical exposure, combined with a 93.66% annual wildfire probability, contributes to its elevated risk. The bridge’s steel superstructure has a moderate vulnerability score, and the risk index of 3.30 indicates it is in the top 50 most at-risk bridges under the TxDOT wildfire risk framework.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.765025,-94.354939"
091100L00075001,217,'0.2 MI NE OF FM 339',"31.761022, -96.879489",48,29,1.6551724137931,0.808940888360604,1.0,3.05714285714286,1.33333333333333,Culvert,Concrete,3.0,3.29739714493656,Top 50,"The bridge at 0.2 MI NE OF FM 339 is ranked #37 for wildfire risk, with a calculated risk index of 3.297. This high risk is driven by a 80.89% annual probability of a wildfire within the 1-mile buffer area, combined with a vulnerability score of 1.00 for the concrete superstructure. The bridge has experienced 48 wildfires in the historical dataset, indicating high exposure to fire events.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.761022,-96.879489"
9.014E+13,27,'2.30 MI E OF SPUR 172',"31.117628, -97.730339",116,29,4.0,0.981684361111266,1.0,2.51428571428571,1.33333333333333,Culvert,Concrete,3.0,3.29097995343967,Top 50,"The bridge at 2.30 MI E OF SPUR 172 has a high wildfire risk score of 3.29, ranking it #38 among bridges in the area. This is due to a high number of historical wildfire events (116 within a 1-mile buffer) and a high annual probability of wildfire (98.17%). The bridge’s concrete superstructure has a lower vulnerability score, but the combination of high exposure and probability contributes to its elevated risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.117628,-97.730339"
232150B00455001,429,'0.10 MI N  OF US 180',"32.757508, -98.908811",64,29,2.20689655172414,0.889958372364136,1.0,2.77142857142857,1.33333333333333,Culvert,Concrete,3.0,3.28860808073604,Top 50,"The bridge at 0.10 MI N OF US 180 has a high wildfire risk score of 3.29, ranking it #39 among bridges in the area. This is due to a high historical exposure to wildfires, with 64 events recorded within the 1-mile buffer zone between 1980 and 2010. The bridge’s superstructure is made of concrete, which has a lower vulnerability to fire damage. However, the high annual wildfire probability of 89% and the bridge’s age and design factors contribute to its elevated risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.757508,-98.908811"
9.014E+13,27,'2.10 MI E OF SPUR 172',"31.119186, -97.736792",107,29,3.68965517241379,0.975019385437705,1.0,2.51428571428571,1.33333333333333,Culvert,Concrete,3.0,3.26863641594354,Top 50,"The bridge at 2.10 MI E OF SPUR 172 is ranked #40 for wildfire risk. It has experienced 107 wildfires within a 1-mile buffer area over the past 30 years, indicating high historical exposure. The risk index is 3.27, calculated using factors like annual wildfire probability, material vulnerability, and age adjustment. The concrete superstructure has a lower vulnerability score, but the high number of wildfires and annual probability of fire significantly contribute to the elevated risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.119186,-97.736792"
9.014E+13,27,'3.10 MI E OF SPUR 172',"31.113308, -97.721717",100,29,3.44827586206897,0.96819958255462,1.0,2.51428571428571,1.33333333333333,Tee Beam,Concrete,3.0,3.2457738386593,Top 50,"The bridge at 3.10 MI E OF SPUR 172 is ranked #41 for wildfire risk. It has a high historical exposure to wildfires, with 100 events recorded within a 1-mile buffer area over the past three decades. The risk index is 3.25, driven by a high annual wildfire probability of 96.8%, moderate vulnerability from concrete superstructure, and a vulnerability factor of 1.00. These factors combine to indicate a significant risk due to the bridge's location and material.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.113308,-97.721717"
9.161E+13,309,'0.7 MI W OF US 84',"31.530081, -97.182275",63,29,2.17241379310345,0.886097651878826,1.0,2.74285714285714,1.33333333333333,Culvert,Concrete,3.0,3.24058569829971,Top 50,"The bridge at 0.7 MI W OF US 84 is ranked #42 for wildfire risk. It has experienced 63 wildfire events within a 1-mile buffer area over the past 30 years, indicating high historical exposure. The risk index is 3.24, calculated using annual wildfire probability, material vulnerability, and age adjustment factors. The primary drivers of the elevated risk are the high number of past wildfires and the bridge’s concrete superstructure, which, while less vulnerable, still faces significant risk when combined with frequent fire events.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.530081,-97.182275"
2.1214E+14,427,'4.40 MI SE OF FM 649',"26.374197, -98.878147",52,29,1.79310344827586,0.833557179385405,1.0,2.91428571428571,1.33333333333333,Culvert,Concrete,3.0,3.23896503989757,Top 50,"The bridge at 4.40 MI SE OF FM 649 is ranked #43 for wildfire risk. It has experienced 52 wildfires within a 1-mile buffer area over the past 30 years, indicating high historical exposure. The risk index is 3.24, calculated using factors including a 83.36% annual wildfire probability, a vulnerability factor of 1.00 for concrete superstructure, and other modifiers. The primary drivers of the elevated risk are the high frequency of wildfires in the area and the bridge’s concrete construction, which, while more resistant to fire, still faces significant risk when combined with other factors.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=26.374197,-98.878147"
091610B06787001,309,'0.20 MI SE OF IH 35',"31.547794, -97.121206",60,29,2.06896551724138,0.87368361373697,1.0,2.77142857142857,1.33333333333333,Arch - Deck,Concrete,3.0,3.22846897266614,Top 50,"This bridge is ranked #44 for wildfire risk at 0.20 miles southeast of IH 35. It has experienced 60 wildfires within a 1-mile buffer area over the past 30 years, indicating high historical exposure. The risk score is 3.23, calculated using factors like annual wildfire probability, material vulnerability, and age adjustment. The primary drivers of the elevated risk are the high number of wildfires in the area and the bridge’s concrete superstructure, which, while less vulnerable, still faces significant risk when combined with frequent fire events.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.547794,-97.121206"
