STRUCTURE_NUMBER_008,LOCATION_009,ADT_029,PERCENT_ADT_TRUCK_109,INVENTORY_RATING_066,YEAR_BUILT_027,SUPERSTRUCTURE_COND_059,FUNCTIONAL_CLASS_026,r_i_lb,d_i,N_i,V_age_overload,V_elem_overload,Risk_Index,"coordinates (lat, lon)",Risk_Level,Street_View_URL,Risk_Explanation
91610001501323.000,0.70 Mi N of LP 340 N,77498,32.0,23.6,1972,N,11,47200.0,66.06218176,16382.99828,1.514285714,1.0,24808.54025,"31.613281, -97.102192",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.613281,-97.102192","This Urban Interstate bridge is at high overload risk because it carries 24,799 trucks per day, which is 32% of its 77,498 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 16,383 overweight crossings per year. That is roughly 45 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1972, its age further increases its vulnerability to repeated overloading."
91100001407066.000,2.3 MI N OF FM 1242,79390,37.0,23.6,1941,N,1,47200.0,66.06218176,19405.30346,1.25,1.0,24256.62932,"31.915275, -97.095594",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.915275,-97.095594","This Rural Interstate bridge is at high overload risk because it carries 29,374 trucks per day, which is 37% of its 79,390 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 19,405 overweight crossings per year. That is roughly 53 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1941, decades of overload traffic have compounded stress on its structure."
91100001407068.000,5.0 MI N OF FM 1242,79390,37.0,23.6,1941,N,11,47200.0,66.06218176,19405.30346,1.25,1.0,24256.62932,"31.951317, -97.112864",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.951317,-97.112864","This Urban Interstate bridge is at high overload risk because it carries 29,374 trucks per day, which is 37% of its 79,390 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 19,405 overweight crossings per year. That is roughly 53 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1941, decades of overload traffic have compounded stress on its structure."
91100001424208.000,0.4 MI S OF SH 22,78491,37.0,23.6,1964,N,11,47200.0,66.06218176,19185.56082,1.25,1.0,23981.95103,"32.003347, -97.09565",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.003347,-97.095650","This Urban Interstate bridge is at high overload risk because it carries 29,042 trucks per day, which is 37% of its 78,491 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 19,186 overweight crossings per year. That is roughly 53 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1964, decades of overload traffic have compounded stress on its structure."
91100001407069.000,0.6 MI N OF FM 310,77917,37.0,23.6,1941,N,1,47200.0,66.06218176,19045.25796,1.25,1.0,23806.57245,"31.965578, -97.119208",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.965578,-97.119208","This Rural Interstate bridge is at high overload risk because it carries 28,829 trucks per day, which is 37% of its 77,917 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 19,045 overweight crossings per year. That is roughly 52 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1941, decades of overload traffic have compounded stress on its structure."
91100001424213.000,0.7 MI S OF FM 3267,77235,37.0,23.6,1964,N,11,47200.0,66.06218176,18878.55665,1.25,1.0,23598.19581,"31.991025, -97.104267",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.991025,-97.104267","This Urban Interstate bridge is at high overload risk because it carries 28,577 trucks per day, which is 37% of its 77,235 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 18,879 overweight crossings per year. That is roughly 52 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1964, decades of overload traffic have compounded stress on its structure."
91100001424210.000,0.5 MI S OF SH 22,77203,37.0,23.6,1964,N,11,47200.0,66.06218176,18870.73489,1.25,1.0,23588.41861,"32.001292, -97.096617",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.001292,-97.096617","This Urban Interstate bridge is at high overload risk because it carries 28,565 trucks per day, which is 37% of its 77,203 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 18,871 overweight crossings per year. That is roughly 52 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1964, decades of overload traffic have compounded stress on its structure."
150150001607174.000,0.87 MI N E OF LP 1604,203627,14.0,23.6,1933,N,11,47200.0,66.06218176,18832.86144,1.25,1.0,23541.0768,"29.576706, -98.322658",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.576706,-98.322658","This Urban Interstate bridge is at high overload risk because it carries 28,508 trucks per day, which is 14% of its 203,627 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 18,833 overweight crossings per year. That is roughly 52 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1933, decades of overload traffic have compounded stress on its structure."
180570237401053.000,2.52 MI E OF US 75,195696,13.0,23.6,1967,N,11,47200.0,66.06218176,16806.53614,1.25,1.0,21008.17017,"32.905808, -96.726667",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.905808,-96.726667","This Urban Interstate bridge is at high overload risk because it carries 25,440 trucks per day, which is 13% of its 195,696 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 16,807 overweight crossings per year. That is roughly 46 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1967, decades of overload traffic have compounded stress on its structure."
180570237401054.000,2.84 MI E OF US 75,195696,13.0,23.6,1967,N,11,47200.0,66.06218176,16806.53614,1.25,1.0,21008.17017,"32.90355, -96.722889",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.903550,-96.722889","This Urban Interstate bridge is at high overload risk because it carries 25,440 trucks per day, which is 13% of its 195,696 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 16,807 overweight crossings per year. That is roughly 46 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1967, decades of overload traffic have compounded stress on its structure."
91610001501263.000,2.50 Mi NE of SH 6,133572,19.0,23.6,1965,N,11,47200.0,66.06218176,16765.70971,1.25,1.0,20957.13714,"31.526492, -97.133125",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.526492,-97.133125",
180710004804039.000,2.2 MI S OF US 287,68486,37.0,23.6,1957,N,11,47200.0,66.06218176,16740.03795,1.25,1.0,20925.04743,"32.396647, -96.871494",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.396647,-96.871494",
150460001604011.000,0.5 MI SW OF FM 1102,120781,20.0,23.6,1933,N,1,47200.0,66.06218176,15958.11275,1.25,1.0,19947.64094,"29.787619, -98.028467",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.787619,-98.028467",
150150001703049.000,0.00 MI NE OF LP 1604,55455,43.0,23.6,1934,N,11,47200.0,66.06218176,15752.95664,1.25,1.0,19691.19581,"29.280511, -98.664",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.280511,-98.664000",
180570237402080.000,2.8 Mi N of Elam Rd,182015,13.0,23.6,1969,N,11,47200.0,66.06218176,15631.60042,1.25,1.0,19539.50052,"32.758544, -96.618472",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.758544,-96.618472",
180570237402085.000,3.7 Mi N of Elam Rd,182015,13.0,23.6,1969,N,11,47200.0,66.06218176,15631.60042,1.25,1.0,19539.50052,"32.771942, -96.623339",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.771942,-96.623339",
180570019603165.000,0.7 Mi S of IH 635,234589,10.0,23.6,1963,N,11,47200.0,66.06218176,15497.46116,1.25,1.0,19371.82645,"32.897844, -96.898028",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.897844,-96.898028",
91610001501216.000,At Jct of Irving Lee St,111568,21.0,23.6,1964,N,11,47200.0,66.06218176,15477.89354,1.25,1.0,19347.36692,"31.508239, -97.143078",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.508239,-97.143078",
121020050801259.000,1.50 MI E OF BWY 8,144858,17.0,24.5,1982,N,11,49000.0,63.418084,15617.24858,1.228571429,1.0,19186.9054,"29.776822, -95.129836",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.776822,-95.129836",
180570237402176.000,3.0 MI NW OF IH 30,178097,13.0,23.6,1967,N,11,47200.0,66.06218176,15295.1193,1.25,1.0,19118.89913,"32.859392, -96.654064",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.859392,-96.654064",
180570237401059.000,1.5 MI SE OF SKILLMAN ST,176541,13.0,23.6,1967,N,11,47200.0,66.06218176,15161.48872,1.25,1.0,18951.8609,"32.884503, -96.698069",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.884503,-96.698069",
142460001508229.000,0.55 MI N OF FM 972,88214,26.0,23.6,1964,N,1,47200.0,66.06218176,15151.78418,1.25,1.0,18939.73023,"30.730697, -97.641722",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.730697,-97.641722",
180570019603151.000,2.0 Mi S of IH 635,229166,10.0,23.6,1962,N,11,47200.0,66.06218176,15139.20595,1.25,1.0,18924.00743,"32.878672, -96.898028",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.878672,-96.898028",
150150001710116.000,6.09 MI S OF GUADALUPE CL,206621,11.0,23.6,1957,N,11,47200.0,66.06218176,15014.81746,1.25,1.0,18768.52183,"29.522142, -98.394444",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.522142,-98.394444",
121020027114403.000,0.05 MI W OF IH 45,226733,10.0,23.6,1960,N,11,47200.0,66.06218176,14978.47666,1.25,1.0,18723.09582,"29.815403, -95.377392",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.815403,-95.377392",
150460001604012.000,3.5 MI NE OF FM 306,112918,20.0,23.6,1933,N,1,47200.0,66.06218176,14919.21888,1.25,1.0,18649.0236,"29.771703, -98.040303",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.771703,-98.040303",
150460001604014.000,3.2 MI N OF SH 46,112918,20.0,23.6,1948,N,11,47200.0,66.06218176,14919.21888,1.25,1.0,18649.0236,"29.737244, -98.068444",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.737244,-98.068444",
150460001604015.000,2.5 MI N OF SH 46,112918,20.0,23.6,1932,N,11,47200.0,66.06218176,14919.21888,1.25,1.0,18649.0236,"29.731014, -98.075794",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.731014,-98.075794",
150460001604225.000,3.2 MI NE OF FM 306,112918,20.0,23.6,1933,N,1,47200.0,66.06218176,14919.21888,1.25,1.0,18649.0236,"29.766933, -98.043272",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.766933,-98.043272",
150150001607024.000,0.65 MI S OF LOOP 1604,223597,10.0,23.6,1934,N,11,47200.0,66.06218176,14771.30565,1.25,1.0,18464.13207,"29.561103, -98.341114",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.561103,-98.341114",
150150001607160.000,2.05 MI S OF SH 218,223597,10.0,23.6,1957,N,11,47200.0,66.06218176,14771.30565,1.25,1.0,18464.13207,"29.547025, -98.366356",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.547025,-98.366356",
121020050801023.000,2.0 MI E OF IH 610,150291,15.0,24.5,1950,6,11,49000.0,63.418084,14296.75089,1.25,1.025,18317.71208,"29.772028, -95.22795",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.772028,-95.227950",
121020050801270.000,1.3 MI E OF FM 526,170605,14.0,24.5,1983,N,11,49000.0,63.418084,15147.21911,1.2,1.0,18176.66293,"29.770967, -95.191433",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.770967,-95.191433",
91610001501003.000,0.6 MI N OF SH 6,70801,31.0,23.6,1931,N,11,47200.0,66.06218176,14499.53245,1.25,1.0,18124.41556,"31.501225, -97.146269",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.501225,-97.146269",
91610001501322.000,0.3 Mi N of LP 340,77498,23.0,23.6,1972,N,11,47200.0,66.06218176,11775.28001,1.514285714,1.0,17831.1383,"31.608211, -97.105781",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.608211,-97.105781",
91610001501326.000,1.6 MI N OF LP 340N,77498,23.0,23.6,1972,N,11,47200.0,66.06218176,11775.28001,1.514285714,1.0,17831.1383,"31.623483, -97.097292",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.623483,-97.097292",
121700011004017.000,1.05 MI N OF HARRIS C/L,243893,9.0,24.5,1926,N,11,49000.0,63.418084,13920.50408,1.25,1.0,17400.63011,"30.12495, -95.442842",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.124950,-95.442842",
141060001603071.000,0.2 MI N OF FM 3407,131260,16.0,23.6,1958,N,11,47200.0,66.06218176,13874.11516,1.25,1.0,17342.64396,"29.859667, -97.950058",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.859667,-97.950058",
142460001509186.000,0.8 MI S OF FM 620,209037,10.0,23.6,1960,N,11,47200.0,66.06218176,13809.44029,1.25,1.0,17261.80036,"30.499047, -97.680872",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.499047,-97.680872",
141060001602037.000,4.2 MI S OF RM 150,126784,17.0,24.5,1935,N,11,49000.0,63.418084,13668.67722,1.25,1.0,17085.84652,"29.930839, -97.888781",Top 50,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.930839,-97.888781",
142460001508224.000,1.30 MI N OF FM 972,79246,26.0,23.6,1964,N,1,47200.0,66.06218176,13611.4255,1.25,1.0,17014.28188,"30.741278, -97.638081",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.741278,-97.638081",
142270001513082.000,0.7 MI S OF US 290 E,170802,12.0,23.6,1953,N,11,47200.0,66.06218176,13540.26332,1.25,1.0,16925.32915,"30.313047, -97.708486",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.313047,-97.708486",
121020050801027.000,3.5 MI E OF IH 610,170605,12.0,23.6,1950,N,11,47200.0,66.06218176,13524.64622,1.25,1.0,16905.80778,"29.771417, -95.203869",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.771417,-95.203869",
180570237402088.000,0.3 Mi S of Bruton Rd,156877,13.0,23.6,1969,N,11,47200.0,66.06218176,13472.72795,1.25,1.0,16840.90994,"32.745492, -96.612567",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.745492,-96.612567",
121020011006093.000,8.5 MI N OF IH 610,235527,7.0,23.6,1971,N,11,47200.0,66.06218176,10891.59924,1.542857143,1.0,16804.18168,"29.936803, -95.412672",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.936803,-95.412672",
121020050801318.000,0.25 MI E OF SJOLANDER RD,100533,20.0,23.6,1960,N,11,47200.0,66.06218176,13282.85864,1.25,1.0,16603.5733,"29.814122, -94.93505",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.814122,-94.935050",
201240002813099.000,0.2 MI N OF US 90,111265,18.0,23.6,1958,N,11,47200.0,66.06218176,13230.73558,1.25,1.0,16538.41947,"30.071928, -94.134744",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.071928,-94.134744",
141060001603033.000,0.5 MI N OF MCCARTY RD,117230,17.0,23.6,1935,N,11,47200.0,66.06218176,13165.59827,1.25,1.0,16456.99783,"29.845178, -97.966089",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.845178,-97.966089",
141060001603074.000,2.6 MI S OF FM 3407,117230,17.0,23.6,1958,N,1,47200.0,66.06218176,13165.59827,1.25,1.0,16456.99783,"29.830008, -97.983069",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.830008,-97.983069",
91610001408506.000,0.2 MI South of FM 3149,173556,36.0,32.7,2014,N,1,65400.0,35.04840624,21898.3003,0.75,1.0,16423.72522,"31.724464, -97.102842",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.724464,-97.102842",
130900053504141.000,5.70 MI E OF SH 304,36617,44.0,23.6,1971,N,1,47200.0,66.06218176,10643.5952,1.542857143,1.0,16421.54688,"29.667722, -97.320967",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.667722,-97.320967",
130900053505149.000,6.40 MI E OF SH 304,36617,44.0,23.6,1971,N,1,47200.0,66.06218176,10643.5952,1.542857143,1.0,16421.54688,"29.668681, -97.309436",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.668681,-97.309436",
130900053505151.000,0.65 MI E OF SH 304,36617,44.0,23.6,1971,N,1,47200.0,66.06218176,10643.5952,1.542857143,1.0,16421.54688,"29.659625, -97.404594",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.659625,-97.404594",
130900053505152.000,4.15 MI E OF SH 304,36617,44.0,23.6,1971,N,1,47200.0,66.06218176,10643.5952,1.542857143,1.0,16421.54688,"29.665611, -97.346503",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.665611,-97.346503",
150460001605062.000,3.5 MI SW OF FM 725,132036,15.0,23.6,1957,N,11,47200.0,66.06218176,13083.87935,1.25,1.0,16354.84918,"29.670419, -98.159822",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.670419,-98.159822",
141060001602111.000,0.2 MI NORTH OF RM 150,116120,17.0,23.6,1961,N,11,47200.0,66.06218176,13040.93893,1.25,1.0,16301.17366,"29.991792, -97.871672",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.991792,-97.871672",
121020050003039.000,2.00 MI N OF IH 610,244789,8.0,23.6,1949,N,11,47200.0,66.06218176,12937.03633,1.25,1.0,16171.29541,"29.835917, -95.386531",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.835917,-95.386531",
121020050003166.000,1.70 MI N OF IH 610,244789,8.0,23.6,1967,N,11,47200.0,66.06218176,12937.03633,1.25,1.0,16171.29541,"29.836703, -95.387",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.836703,-95.387000",
142270001601005.000,0.185 MI N OF HAYS C/L,135535,15.0,24.5,1933,N,11,49000.0,63.418084,12893.05502,1.25,1.0,16116.31878,"30.101275, -97.812217",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.101275,-97.812217",
140280053503183.000,0.6 MI E OF US 183,37461,43.0,23.6,1972,N,1,47200.0,66.06218176,10641.44818,1.514285714,1.0,16114.19296,"29.654208, -97.581519",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.654208,-97.581519",
180570019603109.000,0.9 Mi W of Inwood Rd,194462,10.0,23.6,1959,N,11,47200.0,66.06218176,12846.58399,1.25,1.0,16058.22999,"32.812919, -96.863567",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.812919,-96.863567",
181990000912117.000,0.08 MI W OF FM 548,75013,27.0,24.5,1955,N,11,49000.0,63.418084,12844.38798,1.25,1.0,16055.48498,"32.968425, -96.333361",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.968425,-96.333361",
170820067501176.000,2.15 MI SE OF FM 80,36610,43.0,23.6,1971,N,1,47200.0,66.06218176,10399.70684,1.542857143,1.0,16045.26198,"31.843364, -96.294036",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.843364,-96.294036",
180610019502062.000,5.00 MI N OF US 380,74192,26.0,23.6,1958,N,1,47200.0,66.06218176,12743.34201,1.25,1.0,15929.17751,"33.302622, -97.177678",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.302622,-97.177678",
150460001605090.000,0.6 MI SW OF FM 475,105937,18.0,23.6,1960,N,11,47200.0,66.06218176,12597.17283,1.25,1.0,15746.46604,"29.688442, -98.118567",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.688442,-98.118567",
180570019603087.000,1.5 Mi NW of Spur 366,194462,10.0,24.1,1957,N,11,48200.0,64.60470736,12563.1606,1.25,1.0,15703.95075,"32.800233, -96.822033",Top 100,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.800233,-96.822033",
